,user_location,user_description,date,text,hashtags,source
42,"São Paulo, Brasil",contra patriota,2023-01-09 13:19:27+00:00,RT @safbf: Existe uma diferença crucial entre a invasão do Capitólio em 6 de janeiro nos EUA e a invasão da sede dos 3 poderes hoje em Bras…,,Twitter for iPhone
43,,e pluribus unum! Sem politicamente correto nem respeito pelos rivais!,2023-01-09 13:19:26+00:00,"RT @machotoxico_: Há mais motivos para invadir o Parlamento em Portugal do que o Congresso no Brasil. 

Lula é presidente do Brasil há 7 di…",,Twitter for iPhone
44,"Itapeva, Brasil",O segredo da vida é ter um coração grato e a fé em Deus e Amar a Família!🇧🇷🙏🏻,2023-01-09 13:19:23+00:00,"RT @JoseDinisPFons1: SEGUNDA PARTE :

EM 08.01.2023 O LULA MENTIU DESCARADAMENTE AO BRASIL EM REDE NACIONAL,DIZENDO QUE SEUS COMPARSAS NUNC…",,Twitter for Android
45,,Desde 1994 estragando tudo e decepcionando pessoas.,2023-01-09 13:19:20+00:00,RT @candyferraz: ibaneis pedindo desculpas a lula e lula retornando que não aceita as desculpas. um presidente democrata e escorpiano era o…,,Twitter for Android
46,,,2023-01-09 13:19:17+00:00,"RT @Conservadora191: QUANDO O STF ALTEROU A LEI PARA SOLTAR LULA, CAUSOU O QUE ACONTECEU ONTEM.
Toda culpa do Brasil estar sem lei é ordem…",,Twitter for iPhone
47, MG ,"Eu sou ptfóbica 
#DireitaForte 
#Bolsonaro22",2023-01-09 13:19:14+00:00,"RT @Amaro_Coronel: Lula demonstra toda sua truculência e nomeia um comunista como interventor em Brasília. Cappelli, filiado ao PCdoB, pres…",,Twitter Web App
48,Brasil,"A única coisa que sei é que quanto mais aprendo, mais entendo o quanto preciso aprender.",2023-01-09 13:19:12+00:00,"RT @Conservadora191: QUANDO O STF ALTEROU A LEI PARA SOLTAR LULA, CAUSOU O QUE ACONTECEU ONTEM.
Toda culpa do Brasil estar sem lei é ordem…",,Twitter for Android
49,"Rio Grande do Norte, Brasil","Muita polêmica, muita confusão",2023-01-09 13:19:11+00:00,RT @choquei: 🚨BRASIL: Ministério da Educação de Lula acaba com diretoria responsável por escolas cívico-militares no país. https://t.co/OZC…,,Twitter for Android
50,recife ,"boiolinha demais pelo meu xuxu
ciências biológicas/ambientais",2023-01-09 13:19:02+00:00,RT @rosamst_: Ganhamos a eleição e agora a nossa luta é para garantir a governabilidade do presidente Lula e o estado democrático de direit…,,Twitter for Android
51,Brasil,"Advogada, Cristã, patriota, conservadora, DIREITA SEMPRE. Pela família, contra ideologias esquerdopatas. #Bolsonaro2022 #ConservadorismoVive",2023-01-09 13:18:59+00:00,"RT @hoje_no: Ricardo Cappelli é o interventor federal nomeado por Lula p/a segurança pública do DF. Ex-presidente da UNE, ex-filiado do Par…",,Twitter for Android
52,,,2023-01-09 13:18:56+00:00,RT @carlossampaio_: Eu avisei que Lula não teria vida fácil. E NÃO TERÁ! Essa é apenas a primeira de muitas medidas que vamos tomar para im…,,Twitter for Android
