,user_location,user_description,date,text,hashtags,source
2134, Brasil 🇧🇷 🇧🇷,"Deus, Família, Pátria e Liberdade! Sempre a Direita!
🇧🇷🇧🇷🇧🇷",2023-01-09 12:58:53+00:00,"RT @marcelvanhattem: Invasão, violência e depredação de prédios públicos devem ser SEMPRE repudiadas. O descrédito que muitos hoje nutrem p…",,Twitter for Android
2135,,"eu sinto tanta raiva que amar parece errado
https://t.co/CC8sev7ifE",2023-01-09 12:58:52+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2136,,,2023-01-09 12:58:49+00:00,"RT @AndreCVentura: Compreendo a dor e a revolta de milhões ao verem, de repente, que são governados por um bandido ex-presidiário! Mas a de…",,Twitter for Android
2137,,,2023-01-09 12:58:45+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter for iPhone
2138,Brasil,,2023-01-09 12:58:42+00:00,"RT @marcelvanhattem: Invasão, violência e depredação de prédios públicos devem ser SEMPRE repudiadas. O descrédito que muitos hoje nutrem p…",,Twitter for iPhone
2139,"São Paulo, SP",ok,2023-01-09 12:58:40+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2140,☭,"proletários de todos os países, uni-vos!",2023-01-09 12:58:40+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2141,,Bem-vindo ao perfil oficial do SBT no Twitter! 😀,2023-01-09 12:58:33+00:00,"RT @sbtnews: ""Profundamente preocupada com o que está acontecendo no Brasil. A Democracia deve ser sempre respeitada"", disse Roberta https:…",,TweetDeck
2142,,,2023-01-09 12:58:29+00:00,"RT @sbtnews: ""Profundamente preocupada com o que está acontecendo no Brasil. A Democracia deve ser sempre respeitada"", disse Roberta https:…",,TweetDeck
2143,sf9 - a.c.e ♡,"tmaker '#师铭泽♡' ᨒ 𝘩𝘺𝘶𝙘𝙠's ♡ ㄱㄱ fanaccount.

                          ゞ🐥’ #みつゆきあまる",2023-01-09 12:58:27+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2144,"England, United Kingdom","Cristão Adventista, Conservador e patriota 🇧🇷, Imigrante no 🇬🇧",2023-01-09 12:58:26+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter for Android
2145,"abya yala, not america.","ela/etc
resgate ancestral
autista/tdah",2023-01-09 12:58:21+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter Web App
2146,"Bogotá, Colombia",,2023-01-09 12:58:19+00:00,"RT @CIDH: #Brasil🇧🇷 #CIDH repudia ataques às instituições e à violência em Brasília, que representa um atentado contra a democracia. O dire…","['Brasil', 'CIDH']",Twitter for Android
2147,From The Vault,bebendo café e ouvindo taylor swift,2023-01-09 12:58:12+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2148,Princess Park,"#𝗱𝗲𝗳𝗲𝗻𝗰𝗲𝗹𝗲𝘀𝘀; 𝐷𝑜𝑛'𝑡 𝑏𝑙𝑎𝑚𝑒 𝑚𝑒, 𝑙𝑜𝑣𝑒 𝑚𝑎𝑑𝑒 𝑚𝑒 𝑐𝑟𝑎𝑧𝑦. | 𝐦𝐮𝐥𝐭𝐢-𝐟𝐚𝐧𝐝𝐨𝐦 Fan Account",2023-01-09 12:58:10+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for iPhone
2149,"Araçatuba, Brasil",✝ Filho de Deus | 🗣 Pastor da @juventudealive na @amorecuidado | 💞Casado com @beatrizeduardo_,2023-01-09 12:58:08+00:00,RT @TeofiloHayashi: A violência e vandalismo que vimos é inaceitável tanto hoje em Brasília como também em 2014 quando a esquerda invadiu o…,,Twitter for iPhone
2150,,"•Professora🤍
•🇧🇬",2023-01-09 12:58:05+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2151,"São José dos Campos, Brasil",,2023-01-09 12:58:05+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for Android
2152,"Rio de Janeiro, Brasil",🇧🇷 Deus  Pátria  Família.,2023-01-09 12:58:01+00:00,"RT @deltanmd: O Brasil é uma democracia que permite manifestações livres e pacíficas, mas ataques e vandalismo contra às instituições não t…",,Twitter for Android
2153,São Paulo,,2023-01-09 12:57:59+00:00,"RT @marcelvanhattem: Invasão, violência e depredação de prédios públicos devem ser SEMPRE repudiadas. O descrédito que muitos hoje nutrem p…",,Twitter for iPhone
2154,"Fortaleza, Ceará",,2023-01-09 12:57:58+00:00,"RT @marcelvanhattem: Invasão, violência e depredação de prédios públicos devem ser SEMPRE repudiadas. O descrédito que muitos hoje nutrem p…",,Twitter for iPhone
