,user_location,user_description,date,text,hashtags,source
53,,"Sentado em meu sofá lanceio a besta.
Quem for brasileiro siga-me !",2023-01-09 13:46:58+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
54,,,2023-01-09 13:46:55+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
55,"São Paulo, Brasil",#DireitaSegueDireita #EuvoteinoBolsonaro  #FechadoComBolsonaro,2023-01-09 13:46:46+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
56,"São Paulo, Brasil","radiologia, professor, inventor, do lar",2023-01-09 13:46:41+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
57,,,2023-01-09 13:46:35+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
58,,sou o de laranja na foto. Deus acima de tudo.,2023-01-09 13:46:33+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
59,Brasil,,2023-01-09 13:46:33+00:00,RT @ElisePistola: @IbaneisOficial Boa noite sr @IbaneisOficial o sr já viu esse vídeo e a Bandeira do PT sendo empunhada nas mãos do grupo…,,Twitter for Android
60,Xandaquistão,pela liberdade sempre,2023-01-09 13:46:24+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
61,,,2023-01-09 13:46:23+00:00,"RT @LeonardoDias_BA: É consenso que o ex-presidente é covarde e frouxo, porém seus últimos posicionamentos evidenciam o pacto feito com as…",,Twitter Web App
62,,,2023-01-09 13:46:17+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
63,,,2023-01-09 13:45:53+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
64,,"Brasil acima de tudo Deus acima de todos 🇧🇷🇧🇷🇧🇷🇧🇷
Pernambucano com Amor",2023-01-09 13:45:45+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
65,,,2023-01-09 13:45:40+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
66,USA,"NDT X-radiography Republican - Bolsonaro Starting from scratch again! my third account. help out people! começando a 3.a conta, me ajudem por favor!",2023-01-09 13:45:24+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
67,"São Paulo, Brasil",,2023-01-09 13:45:22+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
68,Guarulhos/SP,Pátria  ARMADA Brasil,2023-01-09 13:45:21+00:00,"RT @Miguel04103: Atenção. Lugares para invadir. Sedes e filias da TV Globo, Jornal  FOLHA de SÃO PAULO, do site UOL, casa de jornalistas qu…",,Twitter for Android
69,,,2023-01-09 13:45:16+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
70,,"🇧🇷🇮🇹 Conservador nos costumes e liberal na economia, armamentista, cristão, família.",2023-01-09 13:45:08+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
71,,,2023-01-09 13:44:53+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
72,,,2023-01-09 13:44:40+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
73,"Rio de Janeiro, Brasil","Seja o autor dos seus dias ,use tudo que lhe foi dado por DEUS para o seu sucesso !!!",2023-01-09 13:44:28+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
74,,,2023-01-09 13:44:25+00:00,"RT @JBattisstta: STF LULISTA vem sendo aparelhado pela esquerda comunista a mais de 20 anos. Essa é a maior ditadura no BR, que temos nos…",,Twitter for Android
75,"São Bernardo do Campo, Brasil",,2023-01-09 13:44:10+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
76,"Rio de Janeiro, Brasil","Avó de direita, Bolsonaro até o fim🇧🇷👊🏻

#FechadoComBrasil🇧🇷",2023-01-09 13:44:03+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
77,,"Brasil Ame-o ou deixe-o!🇧🇷💚

Deus nos abençoou com uma riqueza imensurável... ISAIAS 1:17",2023-01-09 13:43:59+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
78,,"E conhecereis a verdade, e a verdade vos libertará. João 8:32

Amo meu Brasil 🇧🇷

TRICOLOR 🇾🇪

Esquerda é Lixo",2023-01-09 13:43:50+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
79,,"Mulher, mãe, cristã católica, conservadora, de direita e bolsonarista. Nesta plataforma por um Brasil melhor para todos! 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",2023-01-09 13:43:33+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
80,,,2023-01-09 13:43:12+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
81,"Rio de Janeiro, Brasil","Teacher and Engineer. Não possuo político de estimação. Político é pra ser cobrado, não adorado.🧠",2023-01-09 13:43:03+00:00,"RT @agoravaibrazill: Eu não aceito pagar pelos erros dos Bolsonaristas aloprados.

Eles vão usar este episódio para nos calar. 

Contudo, s…",,Twitter for Android
82,"Califórnia, USA","A mão que escreve as pesquisas é a mesma que deseja, em público, a morte física do presidente. JR GUZZO
Deus, Pátria e Família!!!",2023-01-09 13:42:53+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
83,,,2023-01-09 13:42:46+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
84,,,2023-01-09 13:41:45+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
85,,,2023-01-09 13:41:44+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
86,,,2023-01-09 13:41:39+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
87,,,2023-01-09 13:41:37+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
88,,,2023-01-09 13:41:35+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
89,Juiz de Fora MG,Onde está o sábio? Onde está o erudito? Onde está o questionador desta era? Acaso não tornou Deus louca a sabedoria deste mundo? 1 Coríntios 1:20,2023-01-09 13:41:34+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
90,Brasil,Fé em Deus sempre.,2023-01-09 13:41:31+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
91,,"Psicanalista Clínica, terapeuta em PNL.
Proprietária Florescer Consultório Clínico",2023-01-09 13:40:55+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
92,,,2023-01-09 13:40:52+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
93,"Libertyville, IL","Não espere uma queda lenta e gradual. Se nada ocorrer 2026 Argentina, 2030 Bolívia e 2034 Venezuela. Agora é a hora de lutarmos.",2023-01-09 13:40:48+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
94,,BRASILEIRO o garoto de direita,2023-01-09 13:40:47+00:00,RT @MonteiroPer1: O que fazia uma pessoa com a bandeira do PT no STF? https://t.co/TNOujJe38E,,Twitter for iPhone
95,ARARUAMA ,Brasileira💚 patriota🇧🇷cristã 🕊️ Bolsonarista até o fim 💛💚🇧🇷,2023-01-09 13:40:37+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
96,Belo Horizonte / Brazil,Fullstack developer and beer lover. Call me for a beer!,2023-01-09 13:40:31+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
97,,,2023-01-09 13:39:41+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
98,"Foz do Iguaçu, Brasil","Nordestino morando em Foz, Casado, Advogado, R2, Direita...Bora, vamos ou apenas segue o fluxo... kkkkkkkk",2023-01-09 13:39:35+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
99,"Curitiba, Brasil","Consultor Automotivo;
Criador de Conteúdo Digital no Canal Aprenda Sobre Carros;
Curso Aprenda Tudo Sobre Carros.
Administrador, pós em Gestão Estratégica.",2023-01-09 13:39:29+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
100,,,2023-01-09 13:39:00+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
101,,verdadeira,2023-01-09 13:38:45+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
102,,"Deus tenha misericórdia do Brasil 🙏🏼🙌🏼
SDV patriotas",2023-01-09 13:38:35+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
103,"Cidade Gaúcha, Brasil",Felicidade e evolução são meus objetivos!,2023-01-09 13:37:46+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
104,Brasil,"Os idiotas vão tomar conta do mundo; não pela capacidade, mas pela quantidade. Eles são muitos.",2023-01-09 13:37:41+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
105,Jaboatão dos Guararapes,,2023-01-09 13:37:35+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
106,"Goiânia, Goiás, Brasil","Política 🇧🇷 /Tecnologia/Games 🕹 Cristão conservador, capitalista, anti-comunista. Bolsonarista com orgulho! Gamer casual!",2023-01-09 13:37:18+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
107,"Bauru, Brasil",Apenas um seguidor de Jesus Cristo.🇧🇷  Deus pátria família e liberdade.,2023-01-09 13:37:06+00:00,RT @MonteiroPer1: O que fazia uma pessoa com a bandeira do PT no STF? https://t.co/TNOujJe38E,,Twitter for Android
108,"Belo Horizonte, Brasil",Conservadora 100% Bolsonaro!!!,2023-01-09 13:36:35+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
