Level,Date and Time,Source,Event ID,Task,Category
Information,12/29/2022 4:13:12 PM,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: NIC compliance"
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-Kernel-Power,125,(86),"ACPI thermal zone \_TZ.THM has been enumerated.             
_PSV = 0K             
_TC1 = 0             
_TC2 = 0             
_TSP = 0ms             
_AC0 = 0K             
_AC1 = 0K             
_AC2 = 0K             
_AC3 = 0K             
_AC4 = 0K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_CRT = 380K             
_HOT = 0K             
minimum throttle = 0             
_CR3 = 0K"
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎1979‎-‎12‎-‎19T13:12:41.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'KLIF' (10.0, ‎2021‎-‎12‎-‎18T13:18:52.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎1983‎-‎08‎-‎18T23:58:35.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'klbackupflt' (10.0, ‎2021‎-‎12‎-‎18T13:18:09.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-Ntfs,98,None,Volume C: (\Device\HarddiskVolume3) is healthy.  No action is needed.
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{3fc1266c-7817-49fd-6819-d824fc96eb1a} (\Device\HarddiskVolume5) is healthy.  No action is needed.
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'Wof' (10.0, ‎2013‎-‎07‎-‎23T22:08:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/29/2022 4:13:11 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileInfo' (10.0, ‎2079‎-‎02‎-‎26T19:03:00.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/29/2022 4:13:10 PM,Microsoft-Windows-HAL,16,None,The iommu fault reporting has been initialized.
